Test,N,Dinamismo,Algoritmo,Tiempo,Longitud,Éxito
Escalabilidad,31,0.05,AG,1.1088247299194336,245,True
Escalabilidad,31,0.05,A*,0.0014109611511230469,0,False
Escalabilidad,31,0.05,AG,5.424371004104614,0,False
Escalabilidad,31,0.05,A*,0.0015668869018554688,0,False
Escalabilidad,31,0.05,AG,5.547753095626831,0,False
Escalabilidad,31,0.05,A*,0.0021920204162597656,37,True
Escalabilidad,31,0.05,AG,0.23669695854187012,361,True
Escalabilidad,31,0.05,A*,0.0007231235504150391,27,True
Escalabilidad,31,0.05,AG,0.04270792007446289,349,True
Escalabilidad,31,0.05,A*,0.0005640983581542969,33,True
Escalabilidad,31,0.05,AG,0.03857994079589844,309,True
Escalabilidad,31,0.05,A*,0.0008718967437744141,27,True
Escalabilidad,31,0.05,AG,0.1419084072113037,211,True
Escalabilidad,31,0.05,A*,0.0004858970642089844,27,True
Escalabilidad,31,0.05,AG,0.020255088806152344,141,True
Escalabilidad,31,0.05,A*,0.0006849765777587891,31,True
Escalabilidad,31,0.05,AG,0.03878188133239746,191,True
Escalabilidad,31,0.05,A*,0.0013871192932128906,43,True
Escalabilidad,31,0.05,AG,3.8446130752563477,209,True
Escalabilidad,31,0.05,A*,0.0024671554565429688,43,True
Escalabilidad,31,0.05,AG,0.13932204246520996,291,True
Escalabilidad,31,0.05,A*,0.0002319812774658203,23,True
Escalabilidad,31,0.05,AG,0.03938102722167969,321,True
Escalabilidad,31,0.05,A*,0.0010690689086914062,29,True
Escalabilidad,31,0.05,AG,0.011640071868896484,217,True
Escalabilidad,31,0.05,A*,0.0013687610626220703,0,False
Escalabilidad,31,0.05,AG,5.234673738479614,0,False
Escalabilidad,31,0.05,A*,0.00017499923706054688,19,True
Escalabilidad,31,0.05,AG,0.01592707633972168,167,True
Escalabilidad,31,0.05,A*,0.0013768672943115234,53,True
Escalabilidad,31,0.05,AG,1.796983242034912,325,True
Escalabilidad,41,0.05,A*,0.0019068717956542969,51,True
Escalabilidad,41,0.05,AG,1.5306048393249512,487,True
Escalabilidad,41,0.05,A*,0.002341032028198242,85,True
Escalabilidad,41,0.05,AG,8.496798992156982,0,False
Escalabilidad,41,0.05,A*,6.794929504394531e-05,9,True
Escalabilidad,41,0.05,AG,0.02015995979309082,293,True
Escalabilidad,41,0.05,A*,0.0018129348754882812,55,True
Escalabilidad,41,0.05,AG,4.119441270828247,549,True
Escalabilidad,41,0.05,A*,0.0028829574584960938,0,False
Escalabilidad,41,0.05,AG,9.688195943832397,0,False
Escalabilidad,41,0.05,A*,0.002901792526245117,0,False
Escalabilidad,41,0.05,AG,10.138427734375,0,False
Escalabilidad,41,0.05,A*,0.0019080638885498047,49,True
Escalabilidad,41,0.05,AG,2.331590175628662,483,True
Escalabilidad,41,0.05,A*,5.245208740234375e-06,0,False
Escalabilidad,41,0.05,AG,9.559262990951538,0,False
Escalabilidad,41,0.05,A*,0.002937793731689453,0,False
Escalabilidad,41,0.05,AG,9.45146894454956,0,False
Escalabilidad,41,0.05,A*,3.4809112548828125e-05,0,False
Escalabilidad,41,0.05,AG,9.415000915527344,0,False
Escalabilidad,41,0.05,A*,0.002978086471557617,0,False
Escalabilidad,41,0.05,AG,9.174966096878052,0,False
Escalabilidad,41,0.05,A*,0.0001437664031982422,15,True
Escalabilidad,41,0.05,AG,0.019739151000976562,279,True
Escalabilidad,41,0.05,A*,0.0028870105743408203,0,False
Escalabilidad,41,0.05,AG,9.332092046737671,0,False
Escalabilidad,41,0.05,A*,0.0024352073669433594,33,True
Escalabilidad,41,0.05,AG,0.02473282814025879,257,True
Escalabilidad,41,0.05,A*,0.0024378299713134766,0,False
Escalabilidad,41,0.05,AG,7.961644887924194,0,False
Escalabilidad,41,0.05,A*,6.794929504394531e-05,11,True
Escalabilidad,41,0.05,AG,0.019210100173950195,31,True
Escalabilidad,41,0.05,A*,0.001987934112548828,47,True
Escalabilidad,41,0.05,AG,0.24657487869262695,586,True
Escalabilidad,41,0.05,A*,0.0020647048950195312,39,True
Escalabilidad,41,0.05,AG,0.04008293151855469,587,True
Escalabilidad,41,0.05,A*,0.00021719932556152344,19,True
Escalabilidad,41,0.05,AG,0.021687030792236328,97,True
Escalabilidad,41,0.05,A*,0.002722024917602539,0,False
Escalabilidad,41,0.05,AG,9.347553968429565,0,False
